id,Titulo,Autor,Ubicacion,Colección
000056434,Sobre la pista,"Evanovich, Janet",813/EVA/so,LITGE
000056445,Bar Paraíso : Los caminos del amor,"Forch, Juan",Ch863/FOR/ba,LITCH
000056465,Cuentos centroamericanos. compilador : Poli Délano,"Délano, Poli",H863/DEL/cu,LITGE
000056558,Para leer a Proust: La mirada de Alone,"Swinburn del Río, Daniel",Ch864/SWI/pa,LITCH
000056577,Poetas de la Academia (1855-2000) Antología,"Livacic G., Ernesto, ed",Ch861.008/POE,LITCH
000056636,Historias de mentes,"Azócar, Pablo",Ch863/AZO/hi,LITGE
000056721,Bin Laden : El hombre que declaró la guerra a Estados Unidos,"Bodansky, Yossef",926.209/BIN/la,LITGE
000056892,La guerra y la paz,"Tolstoi, Leon, graf",891.73/TOL/gu,LITGE
000056893,Isabel Allende: Hija de la fortuna,"Coddou, Marcelo",Ch863/COD/is,LITCH
000056973,Se las echó el Buin!,"Inostrosa, Jorge",Ch863/INO/se,LITCH
000057059,Gestión participativa en bibliotecas públicas,"López Muñoz, Ricardo",027.483/GES,LITGE
000057629,El tambor de hojalata,"Grass, Günter",833/GRA/ta,LITGE
000057681,Después de la lluvia,"Arciniegas, Triunfo",C862/ARC/de,INFAN
000057784,Cuando pienso en mi falta de cabeza : (La segunda comedia),"Couve, Adolfo",Ch863/COU/cu,LITCH
000057794,El guanaco blanco,"Coloane, Francisco",Ch863/COL/gu,LITCH
000057805,Matar a los viejos,"Droguett, Carlos",Ch863/DRO/ma,LITCH
000057914,Papelucho ; Soy colorina,"Paz, Marcela",Ch863/PAZ/pa,LITCH
000057994,Con pasión,"Parra, Marco Antonio de la",Ch863/PAR/co,LITCH
000058100,Movimientos de las salamandras,"Nómez, Naín",Ch861/NOM/mo,LITGE
000058121,Mapocho,"Fenández, Nona",Ch863/FER/ma,LITCH
000058170,"Valparaíso, el violín de la memoria","Vial, Sara",983.25/VIA/va,LITGE
000058194,"Algunos poemas, algunos discursos, algunas campanas","Neruda, Pablo",Ch861/NER/al,LITGE
000058328,Antología de obras teatrales,"Wolff, Egon",Ch862/WOL/an,LITCH
000058330,"7 muestras, 7 obras : teatro chileno actual","Alvarez, Pablo",Ch862.008/SIE/mu,LITCH
000058333,Hechos consumados : Teatro 11 obras,"Radrigan, Juan",Ch862/RAD/he,LITCH
000058351,En pocas palabras,"Archer, Jeffrey",823/ARC/en,LITGE
000058393,Superhéroes,"Torche, Pablo",Ch863/TOR/su,LITCH
000058401,Harry Potter y el prisionero de Azkaban,"Rowling, J. K",823/HAR/ha,LITGE
000058403,El anillo de Pushkin,"Zúñiga, Juan Eduardo",868/ZUÑ/an,LITGE
000058404,Días contados,"Madrid, Juan",863/MAD/di,LITGE
000058407,Escenario de guerra,"Jeftanovic, Andrea",Ch863/JEF/es,LITCH
000058410,100 autoras y autores de hoy,"Jacomet Ollivet, Pierre",028.1/JAC,LITGE
000058415,Libro del frío,"Riveros, Juan Pablo",Ch861/RIV/li,LITGE
000058463,Emilia y la aguja envenenada;,"Balcells, Jacqueline",Ch863/BAL/em,LITCH
000058479,Los atónitos,"González Dagnino, Alfonso",Ch864/GON/at,LITCH
000058583,Las doradas manzanas del Sol,"Bradbury, Ray",813/BRA/do,LITGE
000058599,Libro de las preguntas : obra póstuma,"Neruda, Pablo",Ch861/NER/,LITGE
000058600,El campeón,"Forch, Juan",Ch863/FOR/ca,LITCH
000058616,Me parece que no somos felices,"Marchant Lazcano, Jorge",Ch863/MAR/me,LITCH
000058632,Cansado de llevarme puesto,"Asensio, Andrea",A863/ASE/ca,LITGE
000058649,Nosotras que nos queremos tanto,"Serrano, Marcela",Ch863/SER/nos,LITCH
000058652,Amor en alta mar,"Huneeus, Pablo",Ch863/HUN/am,LITCH
000058653,Antología de poesía chilena nueva (1935),"Anguita, Eduardo, comp",Ch861.008/ANG/an,LITGE
000058668,Sociología de la novela y vida cotidiana en el Chile de 1900 a 1950,"Vitale , Luis",Ch860/VIT/so,LITCH
000058696,Miguel Strogoff,"Verne, Jules",843/VER/mi,LITGE
000059386,El príncipe,"Machiavelli, Niccolò",320.1/MAC/pr,LITGE
000059581,La gente de Smiley,"Le Carré, John",823/LEC/ge,LITGE
000060621,La chica del Crillón,"Edwards Bello, Joaquín",Ch863/EDW/Ch,LITCH
000060987,Cuentos de la selva,"Quiroga, Horacio",U863/QUI/cu,LITGE
000062755,"El conde Lucanor, o, Libro de Patronio","Juan Manuel, Infante de Castilla",868/JUA/co,LITGE
000063106,La casa de Bernarda Alba,"García Lorca, Federico",860/GAR/ca,LITGE
000063306,Robinson Crusoe,"Defoe, Daniel, -",823/DEF/ro,LITGE
000063354,Robinson Crusoe,"Defoe, Daniel, -",823/DEF/ro,LITGE
000063581,La Isla del Tesoro,"Stevenson, Robert Louis",823/STE/is,LITGE
000064686,1789,"Chaussinand-Nogaret, Guy",843/ChA/muj,LITGE
000065378,Rimas y leyendas,"Bécquer, Gustavo Adolfo",861/BEC/ri,LITGE
000065452,Edipo Rey,"Sófocles, - A.C",882/SOF/ed,JUVEN
000066599,Río sagrado,"Smith, Wilbur",813/SMI/ri,LITGE
000067809,El clan del oso cavernario,"Auel, Jean M",813/AUE/cl,LITGE
000068471,Como en Santiago ; Cada oveja con su pareja,"Barros Grez, Daniel",Ch862/BAR/co,LITCH
000068550,"Javiera y lobito, con las aventuras de Sebastián y el amigo zorro","Alliende, Felipe",Ch863/ALL/ja,LITGE
000068573,"Li Song, mujer china","Balcells, Jacqueline",Ch863/BAL/li,LITCH
000068574,Alonso : pasajero de la mar océano,"Balcells, Jacqueline",Ch863/BAL/al,LITCH
000068838,Temas gramaticales,"Altamirano A., Hernán",465/ALT/te,LITGE
000069230,El mundo de Amado : leyendas de Tierra del Fuego,"Gevert, Lucía",Ch863/GEV/mu,LITCH
000069287,Un yanqui en la corte del rey Arturo,"Twain, Mark",813/TWA/ya,LITGE
000069358,Guillermo en el tejado,"Crompton, Richmal",823/CRO/gu,LITGE
000069462,Ultimos poemas,"Huidobro, Vicente",Ch861/HUI/ul,LITCH
000069627,Ítaca,"Harris, Tomás",Ch861/HAR/it,LITCH
000069637,"El niño, el perro y el platillo volador","Verdi, Alida",Ch863/VER/ni,LITCH
000069638,Papeles quemados,"Massis, Mahfud",Ch861/MAS/pa,LITGE
000069643,Poemas prepóstumos,"Mellado, Carlos",Ch861/MEL/po,LITCH
000069644,La poesía de Jorge Teillier : la tragedia de los lares,"Binns, Niall",Ch861/BIN/po,LITCH
000069657,10 obras inéditas : teatro-performance,"Kurapel, Alberto",Ch862/KUR/di,LITGE
000069658,"""101 poemas de amor""","Arteche, Miguel",Ch861/ART,LITGE
000069660,Abeja de fuego,"Carvajal, Víctor",Ch863/CAR/ab,LITCH
000069661,Actas de Palo Alto : la obra literaria de Fernando Alegría,"Epple, Juan Armando",Ch860/EPP/ac,LITGE
000069662,"Adiós, Doris","Jerez, Fernando",Ch863/JER/ad,LITCH
000069671,Boris y las ratas : (cuentos),"Pavlov, Dinko",Ch863//PAV/bo,LITCH
000069679,Conversaciones para solitarios,"Marín, Germán",Ch868/MAR/co,LITCH
000069686,Cuentos contables :,Concurso Nacional Banco Santiago,Ch863.008/CON/cu,LITCH
000069690,Devocionario para lunáticos : breverdades y carcajodas,"Díaz, Jorge",Ch867/DIA/de,LITCH
000069693,Dorada locura,"Peña Muñoz, Manuel",Ch863/PEÑ/do,LITCH
000069699,El libro natural,"Brintrup, Lilianet",Ch861/BRI/li,LITCH
000069700,El país que devora,"Coppola, Salvattori",Ch863/COP/pa,LITCH
